 0.957087  0.964765  0.960633  0.943148  0.909704  0.857782  0.786369  0.697111  0.594684  0.486176  0.379658  0.282479  0.199893   0.13442 0.0860655 0.0531802 0.0336368 0.0259588 0.0300911 0.0475762 0.0810204  0.132942  0.204355  0.293613   0.39604  0.504548  0.611066  0.708245  0.790831  0.856304  0.904658  0.937544
 0.960263  0.967967  0.963821  0.946278  0.912723  0.860628  0.788979  0.699425  0.596658  0.487789  0.380917  0.283417  0.200556  0.134866 0.0863512 0.0533567 0.0337485  0.026045  0.030191 0.0477341 0.0812893  0.133384  0.205033  0.294587  0.397354  0.506222  0.613094  0.710595  0.793456  0.859146  0.907661  0.940655
 0.957087  0.964765  0.960633  0.943148  0.909704  0.857782  0.786369  0.697111  0.594684  0.486176  0.379658  0.282479  0.199893   0.13442 0.0860655 0.0531802 0.0336368 0.0259588 0.0300911 0.0475762 0.0810204  0.132942  0.204355  0.293613   0.39604  0.504548  0.611066  0.708245  0.790831  0.856304  0.904658  0.937544
 0.946018  0.953607  0.949523   0.93224  0.899183  0.847861  0.777275  0.689049  0.587807  0.480553  0.375267  0.279212  0.197581  0.132866 0.0850702 0.0525652 0.0332478 0.0256586 0.0297431  0.047026 0.0800834  0.131405  0.201991  0.290217  0.391459  0.498713  0.603999  0.700054  0.781685  0.846401  0.894196  0.926701
 0.922746  0.930149  0.926165  0.909307  0.877063  0.827004  0.758154  0.672098  0.573347  0.468732  0.366035  0.272344  0.192721  0.129597 0.0829774 0.0512721 0.0324299 0.0250274 0.0290114 0.0458691 0.0781133  0.128172  0.197022  0.283078  0.381829  0.486444  0.589141  0.682832  0.762455  0.825579  0.872199  0.903904
 0.881283  0.888353  0.884548  0.868448  0.837653  0.789843  0.724087  0.641898  0.547584   0.44767  0.349588  0.260106  0.184061  0.123774 0.0792489 0.0489682 0.0309727 0.0239028 0.0277078 0.0438081 0.0746034  0.122413  0.188169  0.270358  0.364672  0.464587  0.562668   0.65215  0.728195  0.788482  0.833007  0.863288
 0.816065  0.822612  0.819089   0.80418  0.775663  0.731392  0.670502  0.594396  0.507061   0.41454  0.323717  0.240858   0.17044  0.114614 0.0733842 0.0453444 0.0286806 0.0221339 0.0256573 0.0405661 0.0690825  0.113354  0.174244   0.25035  0.337685  0.430205  0.521029  0.603888  0.674306  0.730132  0.771362  0.799402
 0.724749  0.730563  0.727434  0.714193  0.688868   0.64955  0.595474  0.527883  0.450321  0.368154  0.287493  0.213906  0.151368  0.101789 0.0651726 0.0402704 0.0254713 0.0196572 0.0227863 0.0360268 0.0613522   0.10067  0.154746  0.222336  0.299899  0.382066  0.462726  0.536314  0.598852  0.648431  0.685047  0.709949
 0.610601  0.615499  0.612863  0.601708  0.580371  0.547246  0.501687  0.444742  0.379396   0.31017  0.242213  0.180216  0.127527 0.0857571  0.054908 0.0339278 0.0214596 0.0165612 0.0191975 0.0303526 0.0516893 0.0848144  0.130374  0.187319  0.252665  0.321891  0.389847  0.451845  0.504533  0.546303  0.577153  0.598133
 0.483024  0.486899  0.484814  0.475989  0.459111  0.432906  0.396866  0.351819  0.300126  0.245364  0.191606  0.142562  0.100882 0.0678393 0.0434357 0.0268391 0.0169759 0.0131009 0.0151864 0.0240108 0.0408895 0.0670936  0.103134  0.148181  0.199874  0.254636  0.308394  0.357438  0.399118  0.432161  0.456564  0.473161
 0.355447  0.358299  0.356764   0.35027   0.33785  0.318567  0.292045  0.258896  0.220857  0.180558  0.140999  0.104908 0.0742371 0.0499215 0.0319634 0.0197503 0.0124922 0.0096407 0.0111754 0.0176691 0.0300897 0.0493727 0.0758941  0.109043  0.147083  0.187381  0.226941  0.263031  0.293702  0.318018  0.335976  0.348189
